idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	168.07436851159184	144.13945351524086	1	6045	0	kykyen	kykyen	1	6	6
1	154.12725245033184	113.39145441920589	1	1014	1	rakennelta	rakennelta	1	10	10
2	148.38865643212785	57.859510293461	1	158	2	poliikkevalta	poliikkevalta	1	13	13
3	135.7062099784733	-1701.4132451403889	1	29	3	alkuperäistä	alkuperäistä	1	12	12
4	155.47550837797905	92.80195669510692	1	469	4	keskettää	keskettää	1	9	9
5	147.37047511146142	99.80891229772382	1	487	5	suuruuten	suuruuten	1	9	9
6	113.85854664671038	-1092.9236772384809	1	55	6	maatal	maatal	1	6	6
7	28.94973505428485	-2449.4263630322857	1	3	7	rakennus	rakennus	1	8	8
8	55.05156398951263	-2420.9712455569197	1	3	8	tutkimuksen	tutkimuksen	1	11	11
9	162.18661813166997	156.96348360362367	1	125524	9	tarkoitettu	tarkoitettu	1	11	11
10	131.9077983997949	83.75870255141729	2	232	10	varsin	varsin	2	6	6
11	158.98522024789068	96.44005200705752	2	188	11	palvelukseen	palvelukseen	2	12	12
12	101.70601588861672	-1981.5714687692007	2	19	12	kalan	kalan	2	5	5
13	127.52380928456915	-993.6713604466096	2	58	13	latsaria	latsaria	2	8	8
14	144.4655478005455	72.30667217317328	2	145	14	valtaa	valtaa	2	6	6
15	133.60546803954702	-1092.7228111214151	2	54	15	saatteluin	saatteluin	2	10	10
16	145.91044421936547	120.02424954195564	2	3255	16	selviä	selviä	2	6	6
17	116.14396218027191	-2119.616631901207	2	13	17	kunnan	kunnan	2	6	6
18	157.87518643305145	-693.9937057241128	2	76	18	perusti	perusti	2	7	7
19	120.50735740495276	-2087.3367563541974	2	14	19	tyyn	tyyn	2	4	4
20	150.59422798813046	124.58882844844496	2	1552	20	yleisen	yleisen	2	7	7
21	146.68463581704466	53.13815076639614	2	129	21	työsten	työsten	2	7	7
22	111.05217502576728	-2288.4351121951327	2	6	22	kansainvälisten	kansainvälisten	2	15	15
23	-inf	-inf	2	1	23	johtaja	johtaja	2	7	7
24	131.06014682055678	-1382.310725756102	2	42	24	livine	livine	2	6	6
25	48.01422103333064	-2452.8261264003427	2	2	25	perustuksen	perustuksen	2	11	11
26	152.06368077777125	131.29506816461125	2	4789	26	käsitettä	käsitettä	2	9	9
27	157.49066074294632	147.85243342347218	2	15607	27	suurempaa	suurempaa	2	9	9
