idx	poly_var	poly_cov	length	frequencies	natural	fcfs	caplan	natural_length	fcfs_length	caplan_length
0	174.70770358297898	143.8162215908171	5	710	there	horn	horn	5	4	4
1	179.55610639342743	156.14348144739293	4	1157	were	addre	addre	4	5	5
2	177.17719833913443	150.57024707145814	4	1149	also	exculation	exculation	4	10	10
3	171.67705557842112	132.39965431981844	2	292	no	beblan	beblan	2	6	6
4	159.27496561117468	-1208.3062607858662	9	51	buildings	weater	weater	9	6	6
5	180.19134701609912	157.22120040807116	5	888	which	sing	sing	5	4	4
6	173.60820336153978	-1047.805441286966	6	57	higher	recording	recording	6	9	9
7	176.9804501865474	142.24562970813776	4	375	than	and	and	4	3	3
8	38.746103495558025	-2460.0102112919985	6	2	floors	filling	filling	6	7	7
9	179.4754368991443	165.46653049668777	2	9398	in	communi	communi	2	7	7
10	159.9556206605638	112.41590014525067	5	310	south	pallitadians	pallitadians	5	12	12
11	96.33600758429708	-1203.2093436345592	5	52	korea	leavery	leavery	5	7	7
12	32.57082839234008	-2444.148089850831	5	3	freud	bough	bough	5	5	5
13	159.9025344317567	-1130.9224698275325	8	52	believed	paller	paller	8	6	6
14	136.7333509073191	-1924.5271645523133	6	21	mental	caure	caure	6	5	5
15	114.6913499318036	-2168.8967412858424	9	11	disorders	crosses	crosses	9	7	7
16	182.0159371004656	159.18811901468973	3	2110	are	calling	calling	3	7	7
17	184.3084630847444	170.05680041289875	1	7730	a	publics	publics	1	7	7
18	173.66241229309173	-923.2426019047498	6	63	result	authoright	authoright	6	10	10
19	183.98601625229475	171.07641625604373	2	11302	of	erecomption	erecomption	2	11	11
20	-inf	-inf	9	1	repressed	russia	russia	9	6	6
21	64.13725058641722	-2404.5127334298027	8	3	memories	counts	counts	8	6	6
22	164.81311516186747	150.2697534956879	3	9091	and	expended	expended	3	8	8
23	126.4566913324956	-2178.984219172021	8	10	emotions	carrilian	carrilian	8	9	9
24	182.6058953790957	163.56469033215114	4	1821	from	contain	contain	4	7	7
25	145.0969690325068	-2113.830067803682	9	13	childhood	deriver	deriver	9	7	7
26	-inf	-inf	14	1	psychoanalysis	biard	biard	14	5	5
27	182.16172335394896	162.14658306952947	2	5333	is	carry	carry	2	5	5
28	156.9221769060335	-1356.780109605244	8	42	designed	stace	stace	8	5	5
29	191.50697992614775	174.43891919997316	2	6932	to	stript	stript	2	6	6
30	142.19132627376328	-1898.9102339797407	6	21	search	concersed	concersed	6	9	9
31	181.64466370550537	162.7586782188608	3	2760	for	chailing	chailing	3	8	8
32	170.867201658259	139.4023368774776	5	463	these	recognise	recognise	5	9	9
33	136.98944820892712	-2003.6389885322087	6	17	hidden	admitted	admitted	6	8	8
34	158.20902539629424	-1782.3664178967483	5	25	bring	rawa	rawa	5	4	4
35	167.87256819665302	134.96971868468137	4	376	them	toards	toards	4	6	6
36	182.2846152769495	169.17624013161756	3	24678	the	mettory	mettory	3	7	7
37	128.98901341480305	-2004.7066990477117	8	18	patients	artistic	artistic	8	8	8
38	150.25008657617033	-1785.8321219700874	9	25	attention	beneuth	beneuth	9	7	7
39	149.28031355620757	-2113.954533637313	5	13	multi	intersice	intersice	5	9	9
40	160.87678725580915	-866.1295451587953	5	65	stage	horrowers	horrowers	5	9	9
41	158.9178360694214	-1824.5709495230176	5	24	races	strees	strees	5	6	6
42	-inf	-inf	2	1	gc	citcher	citcher	2	7	7
43	156.09335811499548	-650.7441351842667	6	71	leader	assistence	assistence	6	10	10
44	159.4995171670308	119.7985518164895	4	318	will	bellow	bellow	4	6	6
45	149.32693874078706	-1714.3814929805685	5	29	watch	tores	tores	5	5	5
46	152.65040303084274	-1536.6796101402233	5	35	break	string	string	5	6	6
47	-inf	-inf	5	1	aways	elective	elective	5	8	8
48	129.8508638816964	-2306.815120588681	9	5	carefully	thought	thought	9	7	7
49	172.15185977747834	133.7052909989073	2	366	if	intertainer	intertainer	2	11	11
50	129.56160282155722	-2102.865088388832	5	13	rider	bachies	bachies	5	7	7
51	167.4410540946098	-731.9025507865175	5	69	close	clark	clark	5	5	5
52	156.88339963377817	120.84515451103664	3	345	him	classe	classe	3	6	6
53	165.8148081618304	93.70007418496688	7	132	general	servation	servation	7	9	9
54	143.15668553097433	-2041.540081403621	14	15	classification	clother	clother	14	7	7
55	-inf	-inf	6	1	arturo	mara	mara	6	4	4
56	-inf	-inf	7	1	schwarz	pira	pira	7	4	4
57	133.38026707720124	-989.17021285519	7	58	italian	diclect	diclect	7	7	7
58	152.2948694880895	-63.5232726789787	3	100	art	scared	scared	3	6	6
59	132.960915588227	-1930.4457355756697	9	20	historian	frangle	frangle	9	7	7
60	145.36996190973557	-930.2863713124194	6	64	writer	met	met	6	3	3
61	174.65509065042704	151.67236201514493	2	2827	it	socalian	socalian	2	8	8
62	165.65824616337454	115.69118377706984	3	192	now	command	command	3	7	7
63	85.75438562124123	-2026.3679700368984	6	19	oxford	hillengation	hillengation	6	12	12
64	81.06624312417279	-2346.836800069256	10	6	dictionary	arcame	arcame	10	6	6
65	-inf	-inf	5	1	todos	disprose	disprose	5	8	8
66	125.48521224463624	-1166.1072209802903	3	57	los	comministed	comministed	3	11	11
67	-inf	-inf	7	1	pecados	commanded	commanded	7	9	9
68	132.83115536608165	-1554.8628521378853	3	35	del	bang	bang	3	4	4
69	-6.168708805607996	-2503.7526900856665	5	2	mundo	liver	liver	5	5	5
70	151.15533720897423	118.64855096293822	3	680	new	belong	belong	3	6	6
71	102.74386652109706	13.774458303051658	4	181	york	cap	cap	4	3	3
72	163.22908065091582	117.10081940358933	5	305	state	fin	fin	5	3	3
73	130.4792912396715	-1591.0598494971628	5	46	route	pendings	pendings	5	8	8
74	4.365575276763172	-2503.3763735658954	5	2	unnai	share	share	5	5	5
75	-inf	-inf	4	1	kann	san	san	4	3	3
76	-inf	-inf	9	1	theduthey	sala	sala	9	4	4
77	159.17336101276734	88.84170843841538	6	136	famous	statifical	statifical	6	10	10
78	170.23125659464938	142.46845239644944	4	699	many	fare	fare	4	4	4
79	166.60372697786826	104.44687128542644	9	152	countries	lails	lails	9	5	5
80	177.6144030031294	129.1978399832819	6	203	around	arabitian	arabitian	6	9	9
81	167.93677138401193	123.53041293940584	5	499	world	main	main	5	4	4
82	176.54042775880066	144.1453246802601	4	533	most	lita	lita	4	4	4
83	160.12848386259904	-1479.317445453225	5	40	solid	diam	diam	5	4	4
84	163.03675726797016	-1576.342644985875	7	34	objects	sunner	sunner	7	6	6
85	168.3137353409239	135.15074757916165	3	817	can	countrations	countrations	3	12	12
86	145.9088592272551	-1768.4408222106097	5	29	block	rancest	rancest	5	7	7
87	-59.1489612153406	-2549.704271309174	6	3	mmwave	marian	marian	6	6	6
88	154.85466476697636	-169.4285347250434	1	102	c	beagle	beagle	1	6	6
89	27.122940840264928	-2468.213242119632	5	2	elmer	resting	resting	5	7	7
90	78.90279493488073	-2249.4970171239606	8	9	anderson	indective	indective	8	9	9
