	idx	natural_length	frequencies	natural	fcfs	caplan	fcfs_length	caplan_length
0	0	5	147	saint	cast	cast	4	4
1	1	6	9	victor	concled	concled	7	7
2	2	3	24891	the	carroness	carroness	9	9
3	3	8	79	official	partical	partical	8	8
4	4	7	10	partner	bradus	bradus	6	6
5	5	2	11445	of	commanned	commanned	9	9
6	6	6	14	coffee	classe	classe	6	6
7	7	7	22	morning	specks	specks	6	6
8	8	2	5217	is	explains	explains	8	8
9	9	5	18	marks	marren	marren	6	6
10	10	7	7	spencer	deal	deal	4	4
11	11	7	44	toronto	camps	camps	5	5
12	12	6	73	centre	cantino	cantino	7	7
13	13	9	11	landscape	special	special	7	7
14	14	4	1819	from	continuumental	continuumental	14	14
15	15	8	2	hvitsten	continuoning	continuoning	12	12
16	16	6	37	follow	steem	steem	5	5
17	17	2	90	my	conducted	conducted	9	9
18	18	4	61	lead	reached	reached	7	7
19	19	4	37	liga	andire	andire	6	6
20	20	2	2	mx	concemental	concemental	11	11
21	21	4	90	once	cassorias	cassorias	9	9
22	22	4	1615	they	texher	texher	6	6
23	23	9	28	increased	carbons	carbons	7	7
24	24	2	9490	in	comparette	comparette	10	10
25	25	4	68	size	fouse	fouse	5	5
26	26	5	366	would	rable	rable	5	5
27	27	4	932	have	membra	membra	6	6
28	28	4	480	been	contrection	contrection	11	11
29	29	6	28	direct	depire	depire	6	6
30	30	11	4	competitors	fiets	fiets	5	5
31	31	11	1	mesonychids	callect	callect	7	7
32	32	6	145	island	commission	commission	10	10
33	33	3	990	one	every	every	5	5
34	34	6	39	worlds	commone	commone	7	7
35	35	4	309	best	arricks	reached	7	7
36	36	6	7	diving	block	arricks	5	7
37	37	5	13	spots	recording	block	9	5
38	38	8	2	neutered	introl	recording	6	9
39	39	4	24	cats	carronation	introl	11	6
40	40	4	183	live	continuments	carronation	12	11
41	41	6	53	longer	serrie	continuments	6	12
42	42	4	414	than	arena	serrie	5	6
43	43	4	2279	that	gorth	arena	5	5
44	44	3	1197	not	settle	gorth	6	5
45	45	9	190	president	presents	settle	8	6
46	46	6	2	guyana	poits	presents	5	8
47	47	9	1	ahmadabad	decrided	poits	8	5
48	48	7	1	mehsana	denigration	decrided	11	8
49	49	3	9197	and	about	denigration	5	11
50	50	4	1	idar	sisia	deal	5	4
51	51	12	1	sambarkantha	brookmh	about	7	5
52	52	8	145	district	lair	sisia	4	5
53	53	7	3	gujarat	ammonist	brookmh	8	7
54	54	4	83	real	signing	lair	7	4
55	55	6	15	madrid	archives	ammonist	8	8
56	56	3	1077	has	fair	signing	4	7
57	57	3	222	won	campons	archives	7	8
58	58	2	265	la	land	fair	4	4
59	59	6	18	titles	sing	campons	4	7
60	60	8	1	nivollet	explo	land	5	4
61	61	11	1	montgriffon	comperies	sing	9	4
62	62	8	15	muhammad	contenting	explo	10	5
63	63	3	27	ali	exheritors	comperies	10	9
64	64	6	6	jinnah	signe	contenting	5	10
65	65	6	4	torque	pater	exheritors	5	10
66	66	4	320	will	deland	signe	6	5
67	67	8	21	increase	surmound	pater	8	5
68	68	2	303	so	andersons	deland	9	6
69	69	5	50	speed	signs	surmound	5	8
70	70	5	44	train	cara	andersons	4	9
71	71	4	3	sava	early	signs	5	5
72	72	7	1	dolinka	troran	cara	6	4
73	73	7	64	premier	edding	early	6	5
74	74	6	306	league	boat	troran	4	6
75	75	9	3	daylights	arman	edding	5	6
76	76	3	2145	are	insurity	boat	8	4
77	77	2	1235	an	chessica	signs	8	5
78	78	11	16	alternative	expersion	arman	9	5
79	79	4	100	rock	inferrices	insurity	10	8
80	80	4	122	band	equice	chessica	6	8
81	81	3	66	los	supromected	expersion	11	9
82	82	7	55	angeles	campoint	inferrices	8	10
83	83	10	89	california	committe	equice	8	6
84	84	6	81	formed	signed	supromected	6	11
85	85	4	246	each	erua	campoint	4	8
86	86	4	484	city	libuter	committe	7	8
87	87	3	4218	was	darina	signed	6	6
88	88	11	62	independent	allow	erua	5	4
89	89	5	38	ruled	beretain	libuter	8	7
90	90	2	2187	by	bartinu	darina	7	6
91	91	7	51	someone	andirects	allow	9	5
92	92	6	75	within	consisiting	beretain	11	8
93	93	12	35	independence	munication	bartinu	10	7
94	94	5	112	along	marge	andirects	5	9
95	95	9	1	verdigris	conside	consisiting	7	11
96	96	5	218	river	starring	munication	8	10
97	97	9	7	invention	powessed	marge	8	5
98	98	9	1	sinfonias	fairinal	conside	8	7
99	99	5	244	often	seered	starring	6	8
100	100	4	553	used	indivision	powessed	10	8
101	101	2	2322	as	serves	fairinal	6	8
102	102	11	10	preparation	brands	seered	6	6
103	103	3	2869	for	marcher	indivision	7	10
104	104	3	649	two	care	serves	4	6
105	105	7	5	volumes	bain	brands	4	6
106	106	5	6	bachs	serge	marcher	5	7
107	107	4	246	well	deperation	care	10	4
108	108	8	1	tempered	madasa	bain	6	4
109	109	7	1	clavier	fught	serge	5	5
110	110	8	17	jennifer	tinching	deperation	8	10
111	111	5	1	kehoe	spint	madasa	5	6
112	112	6	10	mighty	provided	fught	8	5
113	113	5	12	ducks	ward	tinching	4	8
114	114	7	11	anaheim	carbes	spint	6	5
115	115	7	93	changed	pows	provided	4	8
116	116	5	811	their	lunci	ward	5	4
117	117	4	297	name	intermand	carbes	9	6
118	118	2	6928	to	cambrouse	pows	9	4
119	119	3	42	nhl	race	lunci	4	5
120	120	6	177	season	pancing	intermand	7	9
121	121	4	51	cold	samoto	cambrouse	6	9
122	122	7	2	chilled	erustani	race	8	4
123	123	9	12	processes	sulligue	pancing	8	7
124	124	7	7	solving	sellendar	samoto	9	6
125	125	6	39	future	constitution	erustani	12	8
126	126	8	4	disputes	cory	sulligue	4	8
127	127	2	2570	he	monter	sellendar	6	9
128	128	4	18	tied	dinstered	constitution	9	12
129	129	4	2186	with	brith	cory	5	4
130	130	7	7	shannon	rearly	monter	6	6
131	131	5	7	burke	archase	dinstered	7	9
132	132	5	476	years	delay	brith	5	5
133	133	6	20	austin	load	rearly	4	6
134	134	4	32	talk	endein	deland	6	6
135	135	5	71	radio	intervicus	archase	10	7
136	136	4	41	host	behaves	delay	7	5
137	137	4	8	poll	tala	load	4	4
138	138	5	14	voted	playoff	endein	7	6
139	139	9	4	chronicle	concent	intervicus	7	10
140	140	7	11	readers	teader	behaves	6	7
141	141	2	2732	it	corse	tala	5	4
142	142	8	76	includes	spelled	playoff	7	7
143	143	1	7826	a	experies	concent	8	7
144	144	5	59	dance	streens	teader	7	6
145	145	5	1	gopak	starts	corse	6	5
146	146	5	956	which	servance	spelled	8	7
147	147	4	359	very	deline	experies	6	8
148	148	5	358	known	contain	streens	7	7
149	149	5	4	blaye	invincitions	starts	12	6
150	150	3	611	its	montinu	servance	7	8
151	151	11	8	neighboring	paint	deline	5	6
152	152	8	31	communes	mind	contain	4	7
153	153	5	1	prise	garry	invincitions	5	12
154	154	2	233	de	feet	montinu	4	7
155	155	8	2	bastille	full	paint	4	5
156	156	4	35	jean	trageland	mind	9	4
157	157	6	15	pierre	cange	garry	5	5
158	158	5	75	louis	cardent	feet	7	4
159	159	7	12	laurent	pattern	full	7	4
160	160	5	1	houel	elemants	trageland	8	9
161	161	3	29	box	experion	cange	8	5
162	162	6	107	office	partin	cardent	6	7
163	163	4	91	type	temporarial	pattern	11	7
164	164	5	78	never	sarab	elemants	5	8
165	165	4	584	made	hirley	experion	6	8
166	166	6	47	except	commerces	partin	9	6
167	167	4	623	some	winners	temporarial	7	11
168	168	6	19	models	patters	sarab	7	5
169	169	6	5	abroad	comminician	hirley	11	6
170	170	3	1568	his	signium	commerces	7	9
171	171	5	19	organ	wale	winners	4	7
172	172	5	283	music	exploined	patters	9	7
173	173	10	62	especially	sants	comminician	5	11
174	174	5	87	works	fight	signium	5	7
175	175	4	324	such	maraxis	wale	7	4
176	176	6	2	musica	shavi	exploined	5	9
177	177	11	1	dominicalis	light	sants	5	5
178	178	6	20	sunday	protect	fight	7	5
179	179	7	114	popular	slight	maraxis	6	7
180	180	5	22	piece	lamin	shavi	5	5
181	181	6	597	called	camper	light	6	5
182	182	4	2	moto	fincial	protect	7	7
183	183	8	1	ostinato	standar	slight	7	6
184	184	6	138	famous	solde	lamin	5	5
185	185	7	13	victims	farm	camper	4	6
186	186	14	1	assassinations	sametar	fincial	7	7
187	187	7	146	include	refure	standar	6	7
188	188	6	12	philip	singers	solde	7	5
189	189	2	135	ii	conterts	farm	8	4
190	190	7	3	macedon	employer	sametar	8	7
191	191	2	50	bc	construction	refure	12	6
192	192	9	39	alexander	surmon	singers	6	7
193	193	6	3	greats	formal	conterts	6	8
194	194	6	102	father	comminct	employer	8	8
195	195	6	7	julius	expands	construction	7	12
196	196	6	12	caesar	chemed	surmon	6	6
197	197	7	14	raymond	polare	formal	6	6
198	198	6	2	barone	hanne	comminct	5	8
